sample_id,site_id,site_name,location_id,matrix,latitude,longitude,collection_date,analysis_date,analyte,analytical_method,analyte_category,result_value,result_unit,detection_limit,qualifier,regulatory_mcl,lab_name,validator_initials,flag_missing_field,flag_duplicate_id,flag_impossible_value,holding_time_days,flag_holding_time_violation,flag_regulatory_exceedance,overall_qaqc_status,regulatory_status
MW-01-04-20241111-00019,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2024-11-11,2024-11-11,Cadmium,EPA 6020,METAL,0.184,ug/L,0.25,,5.0,ALS Environmental,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20230613-00020,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2023-06-13,2023-10-20,Cadmium,EPA 6020,METAL,0.465,ug/L,0.25,,5.0,ALS Environmental,TL,False,False,False,129.0,False,False,PASS,WITHIN_LIMIT
SB-04-08-20250604-00021,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2025-06-04,2025-06-10,Vinyl Chloride,EPA 8260,VOC,0.138,ug/L,0.1,,2.0,Pace Analytical,KP,False,False,False,6.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20240909-00022,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2024-09-09,2024-09-13,Benzene,EPA 8260,VOC,3.243,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,4.0,False,False,PASS,WITHIN_LIMIT
SB-02-02-20250102-00023,SITE-02,Industrial Park - Elizabeth,SB-02-02,SOIL,40.658445,-74.209608,2025-01-02,2025-01-02,Nitrate,EPA 300.0,WET_CHEM,0.371,mg/L,0.5,,10.0,ALS Environmental,JM,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-03-01-20231002-00024,SITE-03,Former Gas Station - Paterson,,GW,40.913317,-74.174391,2023-10-02,2023-10-03,pH,EPA 9040,FIELD,8.07,SU,0.01,,,Eurofins TestAmerica,RS,True,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
SB-02-05-20250422-00025,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2025-04-22,2025-05-04,pH,EPA 9040,FIELD,7.14,SU,0.01,,,Eurofins TestAmerica,TL,False,False,False,12.0,True,False,FAIL,WITHIN_LIMIT
MW-01-05-20230508-00026,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2023-05-08,2023-05-09,Cadmium,EPA 6020,METAL,4.299,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
SB-04-09-20240301-00027,SITE-04,Rail Yard - Kearny,SB-04-09,SOIL,40.769705,-74.1401,2024-03-01,2024-07-31,Lead,EPA 6020,METAL,3.732,ug/L,0.75,,15.0,Pace Analytical,KP,False,False,False,152.0,False,False,PASS,WITHIN_LIMIT
SB-04-09-20230731-00028,SITE-04,Rail Yard - Kearny,SB-04-09,SOIL,40.769705,-74.1401,2023-07-31,2023-12-15,Lead,EPA 6020,METAL,27.975,ug/L,0.75,,15.0,Eurofins TestAmerica,KP,False,False,False,137.0,False,True,PASS,EXCEEDANCE
MW-03-01-20231207-00029,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2023-12-07,2023-12-08,Trichloroethylene,EPA 8260,VOC,8.131,ug/L,0.25,,5.0,Eurofins TestAmerica,RS,False,False,False,1.0,False,True,PASS,EXCEEDANCE
SB-02-04-20230804-00030,SITE-02,Industrial Park - Elizabeth,SB-02-04,SOIL,40.666533,-74.205538,2023-08-04,2023-08-15,Vinyl Chloride,EPA 8260,VOC,0.04,ug/L,0.1,,2.0,ALS Environmental,KP,False,False,False,11.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20250121-00031,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2025-01-21,2025-02-02,Tetrachloroethylene,EPA 8260,VOC,5.824,ug/L,0.25,,5.0,Pace Analytical,JM,False,False,False,12.0,False,True,PASS,EXCEEDANCE
SB-02-05-20230520-00032,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2023-05-20,2023-08-25,Arsenic,EPA 6020,METAL,0.524,ug/L,0.5,,10.0,Pace Analytical,TL,False,False,False,97.0,False,False,PASS,WITHIN_LIMIT
MW-01-03-20240622-00033,SITE-01,Former Dry Cleaner - Newark,MW-01-03,GW,40.745212,-74.167177,2024-06-22,2024-11-13,Lead,EPA 6020,METAL,2.27,ug/L,0.75,,15.0,Eurofins TestAmerica,RS,False,False,False,144.0,False,False,PASS,WITHIN_LIMIT
MW-05-02-20250214-00034,SITE-05,Chemical Plant - Linden,MW-05-02,GW,40.620734,-74.250308,2025-02-14,2025-03-24,Mercury,EPA 7470,METAL,0.15,ug/L,0.1,,2.0,Pace Analytical,RS,False,False,False,38.0,False,False,PASS,WITHIN_LIMIT
MW-03-07-20240115-00035,SITE-03,Former Gas Station - Paterson,MW-03-07,GW,40.923445,-74.165705,2024-01-15,2024-01-16,pH,EPA 9040,FIELD,7.21,SU,0.01,,,Eurofins TestAmerica,TL,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-01-04-20250129-00036,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2025-01-29,2025-02-20,Trichloroethylene,EPA 8260,VOC,1.265,ug/L,0.25,,5.0,ALS Environmental,TL,False,False,False,22.0,True,False,FAIL,WITHIN_LIMIT
MW-05-03-20250611-00037,SITE-05,Chemical Plant - Linden,MW-05-03,GW,40.620171,-74.237532,2025-06-11,2025-06-19,Tetrachloroethylene,EPA 8260,VOC,3.837,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,8.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20240503-00038,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2024-05-03,2024-05-30,Mercury,EPA 7470,METAL,0.231,ug/L,0.1,,2.0,ALS Environmental,RS,False,False,False,27.0,False,False,PASS,WITHIN_LIMIT
SB-04-03-20230831-00039,SITE-04,Rail Yard - Kearny,SB-04-03,SOIL,40.762398,-74.155253,2023-08-31,2023-09-06,Tetrachloroethylene,EPA 8260,VOC,0.349,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,6.0,False,False,PASS,WITHIN_LIMIT
SB-02-08-20231130-00040,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2023-11-30,2024-02-16,Arsenic,EPA 6020,METAL,4.781,ug/L,0.5,,10.0,Eurofins TestAmerica,TL,False,False,False,78.0,False,False,PASS,WITHIN_LIMIT
MW-05-05-20250414-00041,SITE-05,Chemical Plant - Linden,MW-05-05,GW,40.617628,-74.248728,2025-04-14,2025-08-30,Cadmium,EPA 6020,METAL,1.273,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,138.0,False,False,PASS,WITHIN_LIMIT
SB-04-03-20250102-00042,SITE-04,Rail Yard - Kearny,SB-04-03,SOIL,40.762398,-74.155253,2025-01-02,2025-01-12,Tetrachloroethylene,EPA 8260,VOC,1.102,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,10.0,False,False,PASS,WITHIN_LIMIT
SB-02-02-20240924-00043,SITE-02,Industrial Park - Elizabeth,SB-02-02,SOIL,40.658445,-74.209608,2024-09-24,2025-03-08,Chromium,EPA 6020,METAL,35.706,ug/L,5.0,,100.0,Pace Analytical,RS,False,False,False,165.0,False,False,PASS,WITHIN_LIMIT
SB-04-06-20230318-00044,SITE-04,Rail Yard - Kearny,SB-04-06,SOIL,40.767578,-74.144025,2023-03-18,2023-07-26,Arsenic,EPA 6020,METAL,101.084,ug/L,0.5,,10.0,Pace Analytical,KP,False,False,False,130.0,False,True,PASS,EXCEEDANCE
SB-04-01-20241213-00045,SITE-04,Rail Yard - Kearny,SB-04-01,SOIL,40.76615,-74.149633,2024-12-13,2025-05-29,Lead,EPA 6020,METAL,2.655,ug/L,0.75,,15.0,ALS Environmental,JM,False,False,False,167.0,False,False,PASS,WITHIN_LIMIT
MW-01-04-20240715-00046,SITE-01,Former Dry Cleaner - Newark,MW-01-04,GW,40.741421,-74.179838,2024-07-15,2024-08-07,Arsenic,EPA 6020,METAL,5.796,ug/L,0.5,,10.0,Eurofins TestAmerica,RS,False,True,False,23.0,False,False,FAIL,WITHIN_LIMIT
MW-03-05-20241126-00047,SITE-03,Former Gas Station - Paterson,MW-03-05,GW,40.915543,-74.165146,2024-11-26,2025-02-27,Cadmium,EPA 6020,METAL,4.294,ug/L,0.25,,5.0,Eurofins TestAmerica,TL,False,False,False,93.0,False,False,PASS,WITHIN_LIMIT
MW-01-05-20230417-00048,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2023-04-17,2023-04-30,Mercury,EPA 7470,METAL,0.465,ug/L,0.1,,2.0,Eurofins TestAmerica,JM,False,False,False,13.0,False,False,PASS,WITHIN_LIMIT
SB-04-04-20231031-00049,SITE-04,Rail Yard - Kearny,SB-04-04,SOIL,40.774138,-74.142103,2023-10-31,2024-03-26,Cadmium,EPA 6020,METAL,0.546,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,147.0,False,False,PASS,WITHIN_LIMIT
SB-02-06-20230524-00050,SITE-02,Industrial Park - Elizabeth,SB-02-06,SOIL,40.671762,-74.205132,2023-05-24,2023-05-25,Vinyl Chloride,EPA 8260,VOC,0.23,ug/L,0.1,,2.0,ALS Environmental,JM,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
SB-04-06-20240518-00051,SITE-04,Rail Yard - Kearny,SB-04-06,SOIL,40.767578,-74.144025,2024-05-18,2024-05-23,Tetrachloroethylene,EPA 8260,VOC,0.565,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,5.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20241015-00052,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2024-10-15,2024-10-20,Benzene,EPA 8260,VOC,9.597,ug/L,0.25,,5.0,Pace Analytical,JM,False,False,False,5.0,False,True,PASS,EXCEEDANCE
MW-01-05-20240619-00053,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2024-06-19,2024-09-25,Lead,EPA 6020,METAL,3.714,ug/L,0.75,,15.0,Pace Analytical,KP,False,False,False,98.0,False,False,PASS,WITHIN_LIMIT
SB-02-06-20240222-00054,SITE-02,Industrial Park - Elizabeth,SB-02-06,SOIL,40.671762,-74.205132,2024-02-22,2024-02-22,pH,EPA 9040,FIELD,-1.0,SU,0.01,,,Pace Analytical,RS,False,False,True,0.0,False,False,FAIL,WITHIN_LIMIT
SB-04-08-20230411-00055,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2023-04-11,2023-04-18,Arsenic,EPA 6020,METAL,2.511,ug/L,0.5,,10.0,ALS Environmental,JM,False,False,False,7.0,False,False,PASS,WITHIN_LIMIT
MW-01-05-20250629-00056,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2025-06-29,2025-07-23,Chromium,EPA 6020,METAL,26.911,ug/L,5.0,,100.0,Eurofins TestAmerica,TL,False,False,False,24.0,False,False,PASS,WITHIN_LIMIT
MW-01-02-20230808-00057,SITE-01,Former Dry Cleaner - Newark,MW-01-02,GW,40.739647,-74.180516,2023-08-08,2023-08-19,Tetrachloroethylene,EPA 8260,VOC,1.366,ug/L,0.25,,5.0,ALS Environmental,KP,False,False,False,11.0,False,False,PASS,WITHIN_LIMIT
SB-04-03-20230202-00058,SITE-04,Rail Yard - Kearny,SB-04-03,SOIL,40.762398,-74.155253,2023-02-02,2023-02-07,Nitrate,EPA 300.0,WET_CHEM,7.809,mg/L,0.5,,10.0,Pace Analytical,TL,False,False,False,5.0,True,False,FAIL,WITHIN_LIMIT
SB-02-04-20250212-00059,SITE-02,Industrial Park - Elizabeth,SB-02-04,SOIL,40.666533,-74.205538,2025-02-12,2025-03-11,Vinyl Chloride,EPA 8260,VOC,4.271,ug/L,0.1,,2.0,ALS Environmental,TL,False,False,False,27.0,True,True,FAIL,EXCEEDANCE
SB-04-05-20250202-00060,SITE-04,Rail Yard - Kearny,SB-04-05,SOIL,40.772503,-74.139785,2025-02-02,2025-03-11,Mercury,EPA 7470,METAL,0.303,ug/L,0.1,,2.0,Pace Analytical,RS,False,False,False,37.0,False,False,PASS,WITHIN_LIMIT
SB-04-07-20240727-00061,SITE-04,Rail Yard - Kearny,SB-04-07,SOIL,40.761196,-74.153109,2024-07-27,2024-10-15,Arsenic,EPA 6020,METAL,4.158,ug/L,0.5,,10.0,Pace Analytical,JM,False,False,False,80.0,False,False,PASS,WITHIN_LIMIT
SB-02-05-20241008-00062,SITE-02,Industrial Park - Elizabeth,SB-02-05,SOIL,40.660991,-74.201286,2024-10-08,2024-10-18,Trichloroethylene,EPA 8260,VOC,0.924,ug/L,0.25,,5.0,Eurofins TestAmerica,JM,False,False,False,10.0,False,False,PASS,WITHIN_LIMIT
MW-01-02-20250316-00063,SITE-01,Former Dry Cleaner - Newark,MW-01-02,GW,40.739647,-74.180516,2025-03-16,2025-03-21,Tetrachloroethylene,EPA 8260,VOC,0.275,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,5.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20240222-00064,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2024-02-22,2024-04-07,Chromium,EPA 6020,METAL,38.708,ug/L,5.0,,100.0,Eurofins TestAmerica,JM,False,False,False,45.0,False,False,PASS,WITHIN_LIMIT
MW-05-04-20231002-00065,SITE-05,Chemical Plant - Linden,MW-05-04,GW,40.616679,-74.253434,2023-10-02,2024-01-06,Arsenic,EPA 6020,METAL,8.644,ug/L,0.5,,10.0,ALS Environmental,JM,False,False,False,96.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20240408-00066,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2024-04-08,2024-09-19,Lead,EPA 6020,METAL,0.603,ug/L,0.75,U,15.0,Eurofins TestAmerica,JM,False,False,False,164.0,False,False,PASS,WITHIN_LIMIT
SB-02-06-20240125-00067,SITE-02,Industrial Park - Elizabeth,SB-02-06,SOIL,40.671762,-74.205132,2024-01-25,2024-04-06,Chromium,EPA 6020,METAL,12.263,ug/L,5.0,,100.0,Eurofins TestAmerica,TL,False,False,False,72.0,False,False,PASS,WITHIN_LIMIT
SB-02-03-20240619-00068,SITE-02,Industrial Park - Elizabeth,SB-02-03,SOIL,40.655176,-74.204147,2024-06-19,2024-06-20,pH,EPA 9040,FIELD,6.77,SU,0.01,,,Pace Analytical,KP,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-04-20230725-00069,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2023-07-25,2023-07-29,Trichloroethylene,EPA 8260,VOC,3.444,ug/L,0.25,,5.0,Eurofins TestAmerica,RS,False,False,False,4.0,False,False,PASS,WITHIN_LIMIT
SB-04-03-20231016-00070,SITE-04,Rail Yard - Kearny,SB-04-03,SOIL,40.762398,-74.155253,2023-10-16,2023-12-16,Chromium,EPA 6020,METAL,18.78,ug/L,5.0,,100.0,Eurofins TestAmerica,RS,False,False,False,61.0,False,False,PASS,WITHIN_LIMIT
SB-02-08-20240412-00071,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2024-04-12,2024-04-13,pH,EPA 9040,FIELD,7.46,SU,0.01,,,ALS Environmental,TL,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-05-20240418-00072,SITE-03,Former Gas Station - Paterson,MW-03-05,GW,40.915543,-74.165146,2024-04-18,2024-06-01,Cadmium,EPA 6020,METAL,8.453,ug/L,0.25,,5.0,Pace Analytical,JM,False,True,False,44.0,False,True,FAIL,EXCEEDANCE
MW-01-05-20230307-00073,SITE-01,Former Dry Cleaner - Newark,MW-01-05,GW,40.734708,-74.174984,2023-03-07,2023-03-18,Benzene,EPA 8260,VOC,0.501,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,11.0,False,False,PASS,WITHIN_LIMIT
SB-02-01-20231013-00074,SITE-02,Industrial Park - Elizabeth,SB-02-01,SOIL,40.670355,-74.211832,2023-10-13,2024-03-23,Cadmium,EPA 6020,METAL,11.352,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,162.0,False,True,PASS,EXCEEDANCE
SB-02-09-20230520-00075,SITE-02,Industrial Park - Elizabeth,SB-02-09,SOIL,40.667561,-74.205805,2023-05-20,2023-09-17,Cadmium,EPA 6020,METAL,1.438,ug/L,0.25,,5.0,Pace Analytical,JM,False,False,False,120.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20241204-00076,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2024-12-04,2025-04-21,Lead,EPA 6020,METAL,7.991,ug/L,0.75,,15.0,ALS Environmental,TL,False,True,False,138.0,False,False,FAIL,WITHIN_LIMIT
SB-04-03-20230110-00077,SITE-04,Rail Yard - Kearny,SB-04-03,SOIL,40.762398,-74.155253,2023-01-10,2023-01-20,"1,1-Dichloroethylene",EPA 8260,VOC,0.348,ug/L,0.35,,7.0,Eurofins TestAmerica,TL,False,False,False,10.0,False,False,PASS,WITHIN_LIMIT
MW-05-06-20240521-00078,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2024-05-21,2024-05-22,pH,EPA 9040,FIELD,6.85,SU,0.01,,,ALS Environmental,RS,False,False,False,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-03-20231224-00079,SITE-03,Former Gas Station - Paterson,MW-03-03,GW,40.909398,-74.172286,2023-12-24,2023-12-25,Nitrate,EPA 300.0,WET_CHEM,1.408,mg/L,0.5,,10.0,ALS Environmental,TL,False,False,False,1.0,False,False,PASS,WITHIN_LIMIT
MW-01-06-20230614-00080,SITE-01,Former Dry Cleaner - Newark,MW-01-06,GW,40.744235,-74.169523,2023-06-14,2023-06-27,Vinyl Chloride,EPA 8260,VOC,0.175,ug/L,0.1,,2.0,Pace Analytical,JM,False,False,False,13.0,False,False,PASS,WITHIN_LIMIT
MW-03-04-20240618-00081,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2024-06-18,2024-06-18,pH,EPA 9040,FIELD,5.65,SU,0.01,,,Pace Analytical,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
MW-05-01-20240803-00082,SITE-05,Chemical Plant - Linden,MW-05-01,GW,40.618079,-74.253984,2024-08-03,2024-08-03,Nitrate,EPA 300.0,WET_CHEM,3.349,mg/L,0.5,,10.0,ALS Environmental,RS,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-02-08-20240506-00083,SITE-02,Industrial Park - Elizabeth,SB-02-08,SOIL,40.654776,-74.217614,2024-05-06,2024-10-20,Cadmium,EPA 6020,METAL,1.153,ug/L,0.25,,5.0,ALS Environmental,RS,False,False,False,167.0,False,False,PASS,WITHIN_LIMIT
MW-05-01-20240404-00084,SITE-05,Chemical Plant - Linden,MW-05-01,GW,40.618079,-74.253984,2024-04-04,2024-04-08,"1,1-Dichloroethylene",EPA 8260,VOC,10.115,ug/L,0.35,,7.0,Eurofins TestAmerica,RS,False,False,False,4.0,False,True,PASS,EXCEEDANCE
MW-03-04-20240429-00085,SITE-03,Former Gas Station - Paterson,MW-03-04,GW,40.911338,-74.168404,2024-04-29,2024-04-29,Nitrate,EPA 300.0,WET_CHEM,19.093,mg/L,0.5,,10.0,Eurofins TestAmerica,KP,False,False,False,0.0,False,True,PASS,EXCEEDANCE
SB-02-01-20231105-00086,SITE-02,Industrial Park - Elizabeth,SB-02-01,SOIL,40.670355,-74.211832,2023-11-05,2023-11-08,Benzene,EPA 8260,VOC,8.086,ug/L,0.25,,5.0,Pace Analytical,KP,False,False,False,3.0,False,True,PASS,EXCEEDANCE
SB-02-06-20240629-00087,SITE-02,Industrial Park - Elizabeth,SB-02-06,SOIL,40.671762,-74.205132,2024-06-29,2024-07-21,Trichloroethylene,EPA 8260,VOC,3.401,ug/L,0.25,,5.0,Pace Analytical,RS,False,False,False,22.0,True,False,FAIL,WITHIN_LIMIT
MW-05-06-20240719-00088,SITE-05,Chemical Plant - Linden,MW-05-06,GW,40.625238,-74.243459,2024-07-19,2024-08-15,Mercury,EPA 7470,METAL,4.106,ug/L,0.1,,2.0,ALS Environmental,KP,False,False,False,27.0,False,True,PASS,EXCEEDANCE
MW-05-05-20241213-00089,SITE-05,Chemical Plant - Linden,MW-05-05,GW,40.617628,-74.248728,2024-12-13,2024-12-26,Chromium,EPA 6020,METAL,56.405,ug/L,5.0,,100.0,Pace Analytical,RS,False,False,False,13.0,False,False,PASS,WITHIN_LIMIT
MW-03-07-20240818-00090,SITE-03,Former Gas Station - Paterson,MW-03-07,GW,40.923445,-74.165705,2024-08-18,2024-08-18,pH,EPA 9040,FIELD,7.2,SU,0.01,,,ALS Environmental,TL,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-04-06-20241114-00091,SITE-04,Rail Yard - Kearny,SB-04-06,SOIL,40.767578,-74.144025,2024-11-14,2024-11-14,pH,EPA 9040,FIELD,5.98,SU,0.01,,,Pace Analytical,RS,False,False,False,0.0,False,False,PASS,WITHIN_LIMIT
SB-04-08-20240322-00092,SITE-04,Rail Yard - Kearny,SB-04-08,SOIL,40.771768,-74.145978,2024-03-22,2024-03-23,pH,EPA 9040,FIELD,-1.0,SU,0.01,,,Eurofins TestAmerica,JM,False,False,True,1.0,True,False,FAIL,WITHIN_LIMIT
MW-03-01-20241224-00093,SITE-03,Former Gas Station - Paterson,MW-03-01,GW,40.913317,-74.174391,2024-12-24,2024-12-27,Benzene,EPA 8260,VOC,11.898,ug/L,0.25,,5.0,Eurofins TestAmerica,KP,False,False,False,3.0,False,True,PASS,EXCEEDANCE
